section,name,italian_name,price
Caffetteria,Coffee,CaffÃ¨ espresso,1.50 â‚¬
Caffetteria,Spiked coffee,CaffÃ¨ corretto,2.00 â‚¬
Caffetteria,Decaffeinated coffee,CaffÃ¨ decaffeinato,1.50 â‚¬
Caffetteria,Barley coffee,CaffÃ¨ d'orzo,1.50 â‚¬
Caffetteria,Barley coffee (large) ,CaffÃ¨ d'orzo grande,2.00 â‚¬
Caffetteria,Cappuccino,Cappuccino,1.80 â‚¬
Caffetteria,Marocchino,Marocchino,1.80 â‚¬
Caffetteria,Hot chocolate,Cioccolata calda,2.50 â‚¬
Caffetteria,Punch,Punch,2.50 â‚¬
Caffetteria,Iced espresso ,CaffÃ¨ shakerato,2.50 â‚¬
Caffetteria,Iced spiked espresso,CaffÃ¨ shakerato corretto,3.00 â‚¬
Caffetteria,Milk,Latte,1.50 â‚¬
Caffetteria,Latte macchiato,Latte macchiato,1.80 â‚¬
Caffetteria,Milk with rum,Latte e rum,2.50 â‚¬
Caffetteria,Tea,ThÃ¨ caldo,2.50 â‚¬
Caffetteria,Chamomile tea,Camomilla,2.50 â‚¬
Caffetteria,Infusion,Tisana,2.50 â‚¬
Caffetteria,Ginseng ,Ginseng ,1.70 â‚¬
Caffetteria,Ginseng (large) ,Ginseng grande ,2.20 â‚¬
Caffetteria,with soy milk ,Aggiunta di soia,0.50 â‚¬
Aperitivi,Aperitivo della casa,Aperitivo della casa ,4.00 â‚¬
Aperitivi,Crodino,Crodino,3.50 â‚¬
Aperitivi,Bitter rosso ,Bitter rosso ,3.50 â‚¬
Aperitivi,Campari Soda,Campari Soda,4.00 â‚¬
Aperitivi,Aperol Soda,Aperol Soda,4.00 â‚¬
Aperitivi,with wine ,Aggiunta di vino ,4.50 â‚¬
Aperitivi,Martini ,Martini,4.00 â‚¬
Aperitivi,Aperol Spritz,Aperol Spritz,6.00 â‚¬
Aperitivi,Campari Spritz,Campari Spritz,6.00 â‚¬
Aperitivi,Negroni,Negroni,6.00 â‚¬
Aperitivi,Negroni sbagliato,Negroni sbagliato,6.00 â‚¬
Aperitivi,Gin tonic,Gin tonic,6.00 â‚¬
Aperitivi,Gin lemon,Gin lemon,6.00 â‚¬
Aperitivi,Coca and rum ,Coca e rum,6.00 â‚¬
Bibite,Coca cola,Coca cola,3.00 â‚¬
Bibite,Coca cola zero,Coca cola zero,3.00 â‚¬
Bibite,Fanta,Fanta,3.00 â‚¬
Bibite,Gassosa,Gassosa,3.00 â‚¬
Bibite,Chinotto,Chinotto,3.00 â‚¬
Bibite,Cedrata,Cedrata,3.00 â‚¬
